name,EDNN,DTWNN,TSBF,SAXVSM,SMTS,BoP,PROP,COTE,BOSS,D-BoTSW
50words,0.369,0.310,0.209,0.374,0.286,0.466,0.180,0.191,0.301,0.220
Adiac,0.389,0.396,0.245,0.417,0.241,0.432,0.353,0.233,0.22,0.079
ArrowHead,0.200,0.297,-1,0.343,-1,-1,-1,-1,-1,0.166
Beef,0.333,0.367,0.287,0.233,0.270,0.433,0.367,0.133,0.2,0.267
BeetleFly,0.250,0.300,-1,-1,-1,-1,-1,-1,0.1,0.100
BirdChicken,0.450,0.250,-1,-1,-1,-1,-1,-1,0,0.200
Car,0.267,0.267,-1,-1,-1,-1,0.167,0.133,-1,0.100
CBF,0.148,0.003,0.009,0.004,0.031,0.013,0.002,0.001,0,0
ChlorineConcentration,0.350,0.352,0.336,0.335,0.326,-1,0.360,0.314,0.34,0.438
CinC_ECG_torso,0.103,0.349,0.262,0.291,0.110,-1,0.062,0.064,0.125,0.170
Coffee,0.000,0.000,0.004,0.000,0.014,0.036,0.000,-1,0,0
Computers,0.424,0.300,-1,-1,-1,-1,-1,-1,0.296,0.256
Cricket_X,0.423,0.246,0.278,0.308,0.289,-1,0.203,0.154,0.259,0.254
Cricket_Y,0.433,0.256,0.259,0.318,0.289,-1,0.156,0.167,0.208,0.244
Cricket_Z,0.413,0.246,0.263,0.297,0.253,-1,0.156,0.128,0.246,0.231
DiatomSizeReduction,0.065,0.033,0.126,0.121,0.055,-1,0.059,0.082,0.046,0.085
DistalPhalanxOutlineAgeGroup,0.218,0.208,-1,-1,-1,-1,-1,-1,0.18,0.160
DistalPhalanxOutlineCorrect,0.248,0.232,-1,-1,-1,-1,-1,-1,0.208,0.233
DistalPhalanxTW,0.273,0.290,-1,-1,-1,-1,-1,-1,0.223,0.215
Earthquakes,0.326,0.258,-1,0.252,-1,-1,-1,-1,0.186,0.236
ECG200,0.120,0.230,0.145,0.140,0.168,0.150,-1,-1,0.13,0.150
ECG5000,0.075,0.076,-1,-1,-1,-1,-1,-1,0.056,0.054
ECGFiveDays,0.203,0.232,0.183,0.001,0.182,-1,0.178,0,0,0
ElectricDevices,0.450,0.399,-1,0.374,-1,-1,-1,-1,0.282,0.334
FaceAll,0.286,0.192,0.234,0.245,0.185,0.219,0.152,0.105,0.21,0.083
FaceFour,0.216,0.170,0.051,0.114,0.130,0.023,0.091,0.091,0,0.034
FacesUCR,0.231,0.095,0.090,0.109,0.155,-1,0.063,0.057,0.042,0.055
FISH,0.217,0.177,0.080,0.017,0.153,0.074,0.034,0.029,0.011,0.034
FordA,0.341,0.438,-1,0.186,-1,-1,-1,-1,0.083,0.089
FordB,0.442,0.406,-1,0.331,-1,-1,-1,-1,0.109,0.116
Gun_Point,0.087,0.093,0.011,0.013,0.027,0.027,0.007,0.007,0,0.013
Ham,0.400,0.533,-1,-1,-1,-1,-1,-1,0.343,0.343
HandOutlines,0.199,0.202,-1,0.070,-1,-1,-1,-1,0.13,0.119
